dimer,Metal,Ligand,X,R,Y_Smiles,E,d,rho,laplacian,V,G,V_over_G
Cu_3,Cu,CN,F,CF3,FC(F)(F)C#N,-7.94,2.65,0.02424,0.05821,-0.02168,0.01713,1.151
Cu_4,Cu,CN,F,NO2,O=[N+]([O-])C#N,-8.3,2.65,0.02422,0.05805,-0.02166,0.0171,1.151
Cu_5,Cu,CN,F,CH3,CC#N,-5.45,2.725,0.02519,0.0414,-0.01967,0.01412,1.267
Cu_6,Cu,CN,Cl,H,C#N,-8.58,2.7,0.0236,0.04921,-0.01968,0.0151,1.185
Cu_7,Cu,CN,Cl,F,FC#N,-8.7,2.7,0.02379,0.04901,-0.01983,0.01514,1.191
Cu_8,Cu,CN,Cl,CF3,FC(F)(F)C#N,-8.66,2.7125,0.02319,0.04718,-0.01913,0.01459,1.192
Cu_9,Cu,CN,Cl,NO2,O=[N+]([O-])C#N,-9.18,2.7,0.02369,0.04904,-0.01962,0.01505,1.185
Cu_10,Cu,CN,Cl,CH3,CC#N,-7.51,2.7,0.02609,0.0454,-0.0209,0.01518,1.252
Cu_11,Cu,CN,Br,H,C#N,-8.37,2.7,0.02381,0.04897,-0.01978,0.01511,1.19
Cu_12,Cu,CN,Br,F,FC#N,-9.24,2.6875,0.02446,0.0509,-0.0205,0.01568,1.189
Cu_13,Cu,CN,Br,CF3,FC(F)(F)C#N,-9.13,2.7,0.02391,0.04894,-0.0198,0.01512,1.191
Cu_14,Cu,CN,Br,NO2,O=[N+]([O-])C#N,-9.52,2.6875,0.02447,0.05085,-0.02033,0.0156,1.185
Cu_15,Cu,CN,Br,CH3,CC#N,-8.08,2.7,0.02618,0.04516,-0.02098,0.01518,1.256
Cu_16,Cu,CN,I,H,C#N,-9.17,2.6875,0.02458,0.05079,-0.02049,0.01566,1.189
Cu_17,Cu,CN,I,F,FC#N,-10.2,2.675,0.02523,0.05283,-0.02124,0.01626,1.188
Cu_18,Cu,CN,I,CF3,FC(F)(F)C#N,-9.82,2.6875,0.02471,0.05071,-0.02052,0.01566,1.191
Cu_19,Cu,CN,I,NO2,O=[N+]([O-])C#N,-10.32,2.6625,0.02586,0.05487,-0.02172,0.01673,1.18
Cu_20,Cu,CN,I,CH3,CC#N,-9.33,2.6875,0.0269,0.04684,-0.02168,0.01571,1.255
Cu_21,Cu,CN,CN,H,C#N,-7.46,2.7,0.02427,0.05106,-0.02015,0.01554,1.179
Cu_22,Cu,CN,CN,F,FC#N,-7.97,2.7,0.02438,0.05105,-0.02027,0.01559,1.182
Cu_23,Cu,CN,CN,CF3,FC(F)(F)C#N,-8.05,2.7125,0.02395,0.04944,-0.01969,0.01513,1.183
Cu_24,Cu,CN,CN,NO2,O=[N+]([O-])C#N,-8.68,2.6875,0.02514,0.05354,-0.02092,0.0162,1.174
Cu_25,Cu,CN,CN,CH3,CC#N,-6.28,2.65,0.0283,0.0547,-0.02333,0.01744,1.216
Cu_26,Cu,Py,F,H,n1ccccc1,-16.4,2.7375,0.02323,0.04483,-0.01885,0.01393,1.231
Cu_27,Cu,Py,F,F,n1ccc(F)cc1,-17.36,2.7375,0.02324,0.04288,-0.01887,0.01394,1.231
Cu_28,Cu,Py,F,CF3,n1ccc(C(F)(F)F)cc1,-17.49,2.725,0.02362,0.04483,-0.01932,0.01439,1.221
Cu_29,Cu,Py,F,NO2,n1ccc([N+](=O)[O-])cc1,-17.65,2.7,0.02442,0.04894,-0.02031,0.01535,1.203
Cu_30,Cu,Py,F,CH3,n1ccc(C)cc1,-16.12,2.75,0.02283,0.04105,-0.01841,0.0135,1.24
Cu_31,Cu,Py,F,OH,n1ccc(O)cc1,-17.17,2.7625,0.02245,0.03937,-0.01801,0.01311,1.249
Cu_32,Cu,Py,F,NH2,n1ccc(N)cc1,-15.37,2.775,0.02172,0.03767,-0.01727,0.01256,1.25
Cu_33,Cu,Py,Cl,H,n1ccccc1,-16.31,2.7125,0.024,0.04658,-0.01983,0.01484,1.215
Cu_34,Cu,Py,Cl,F,n1ccc(F)cc1,-17.13,2.7125,0.02404,0.0466,-0.01987,0.01486,1.216
Cu_35,Cu,Py,Cl,CF3,n1ccc(C(F)(F)F)cc1,-17.29,2.7125,0.02404,0.04663,-0.01986,0.01485,1.215
Cu_36,Cu,Py,Cl,NO2,n1ccc([N+](=O)[O-])cc1,-17.42,2.7,0.02452,0.0487,-0.02041,0.01536,1.208
Cu_37,Cu,Py,Cl,CH3,n1ccc(C)cc1,-15.9,2.7125,0.024,0.04657,-0.01983,0.01484,1.215
Cu_38,Cu,Py,Cl,OH,n1ccc(O)cc1,-17.01,2.725,0.02355,0.04463,-0.01933,0.01436,1.223
Cu_39,Cu,Py,Cl,NH2,n1ccc(N)cc1,-15.66,2.725,0.02351,0.04461,-0.0193,0.01435,1.223
Cu_40,Cu,Py,Br,H,n1ccccc1,-16.22,2.6875,0.02501,0.05057,-0.02097,0.01585,1.203
Cu_41,Cu,Py,Br,F,n1ccc(F)cc1,-17.02,2.6875,0.02505,0.05059,-0.021,0.01587,1.203
Cu_42,Cu,Py,Br,CF3,n1ccc(C(F)(F)F)cc1,-17.03,2.725,0.0235,0.04452,-0.01923,0.01431,1.222
Cu_43,Cu,Py,Br,NO2,n1ccc([N+](=O)[O-])cc1,-17.41,2.6875,0.02507,0.05067,-0.02099,0.01587,1.202
Cu_44,Cu,Py,Br,CH3,n1ccc(C)cc1,-15.98,2.6875,0.025,0.05056,-0.02097,0.01585,1.203
Cu_45,Cu,Py,Br,OH,n1ccc(O)cc1,-16.92,2.7,0.02451,0.04843,-0.0204,0.01533,1.21
Cu_46,Cu,Py,Br,NH2,n1ccc(N)cc1,-15.47,2.7,0.02447,0.04842,-0.02038,0.01531,1.21
Cu_47,Cu,Py,I,H,n1ccccc1,-16.11,2.6625,0.02613,0.05481,-0.02224,0.01696,1.192
Cu_48,Cu,Py,I,F,n1ccc(F)cc1,-16.98,2.6625,0.02617,0.05483,-0.02227,0.01698,1.193
Cu_49,Cu,Py,I,CF3,n1ccc(C(F)(F)F)cc1,-17.14,2.6625,0.0262,0.05481,-0.02227,0.01697,1.193
Cu_50,Cu,Py,I,NO2,n1ccc([N+](=O)[O-])cc1,-17.28,2.6625,0.02622,0.05481,-0.02227,0.01697,1.193
Cu_51,Cu,Py,I,CH3,n1ccc(C)cc1,-15.9,2.6625,0.0261,0.05483,-0.02223,0.01696,1.192
Cu_52,Cu,Py,I,OH,n1ccc(O)cc1,-16.9,2.6625,0.02611,0.05481,-0.02225,0.01696,1.192
Cu_53,Cu,Py,I,NH2,n1ccc(N)cc1,-15.6,2.675,0.02552,0.05252,-0.02157,0.01637,1.198
Cu_54,Cu,Py,CN,H,n1ccccc1,-15.61,2.6875,0.02526,0.05273,-0.0212,0.01623,1.188
Cu_55,Cu,Py,CN,F,n1ccc(F)cc1,-16.31,2.6875,0.02534,0.05295,-0.02129,0.01629,1.188
Cu_56,Cu,Py,CN,CF3,n1ccc(C(F)(F)F)cc1,-16.64,2.6875,0.0254,0.05315,-0.02134,0.01634,1.187
Cu_57,Cu,Py,CN,NO2,n1ccc([N+](=O)[O-])cc1,-16.86,2.6875,0.02549,0.05348,-0.02143,0.01643,1.186
Cu_58,Cu,Py,CN,CH3,n1ccc(C)cc1,-15.31,2.6875,0.02521,0.05257,-0.02115,0.01619,1.188
Cu_59,Cu,Py,CN,OH,n1ccc(O)cc1,-16.33,2.6875,0.02521,0.05248,-0.02116,0.01618,1.189
Cu_60,Cu,Py,CN,NH2,n1ccc(N)cc1,-14.93,2.6875,0.0251,0.05225,-0.02106,0.0161,1.189
