dimer,Metal,Ligand,X,R,Y_Smiles,E,d,rho,laplacian,V,G,V_over_G,Metal_atomic_number,Metal_atomic_radius,Metal_electronegativity,Metal_polarizability,Metal_ionization_energy,X_atomic_number,X_atomic_radius,X_electronegativity,X_polarizability,X_ionization_energy,Shortest_M_N,Monomer_Slippage,HX_nearest,Mol,nAromAtom,nAromBond,nHetero,nN,nO,nF,nAtom,nHeavyAtom,nBase
Ag_16,Ag,CN,I,F,FC#N,-8.28,2.975,0.023,0.0655,-0.0188,0.0176,1.068,47,160.0,1.93,55.0,7.576234,53,140.0,2.66,32.9,10.45126,2.1298,2.0848,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A107B0>,0,0,2,1,0,1,3,3,0
Ag_17,Ag,CN,I,CF3,FC(F)(F)C#N,-8.45,2.988,0.0218,0.0622,-0.0174,0.0165,1.055,47,160.0,1.93,55.0,7.576234,53,140.0,2.66,32.9,10.45126,2.1089,4.0842,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10810>,0,0,4,1,0,3,6,6,0
Ag_18,Ag,CN,I,NO2,O=[N+]([O-])C#N,-8.34,2.988,0.0226,0.0636,-0.0181,0.017,1.065,47,160.0,1.93,55.0,7.576234,53,140.0,2.66,32.9,10.45126,2.1007,2.1129,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10870>,0,0,4,2,2,0,5,5,0
Ag_19,Ag,CN,I,CH3,CC#N,-7.65,3.0,0.0218,0.0622,-0.0174,0.0165,1.055,47,160.0,1.93,55.0,7.576234,53,140.0,2.66,32.9,10.45126,2.1051,2.1193,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A108D0>,0,0,1,1,0,0,6,3,0
Ag_20,Ag,CN,I,NH2,NC#N,-7.19,3.013,0.0212,0.0605,-0.0167,0.0159,1.05,47,160.0,1.93,55.0,7.576234,53,140.0,2.66,32.9,10.45126,2.1037,2.0833,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10930>,0,0,2,2,0,0,5,3,0
Ag_21,Ag,CN,I,OH,OC#N,-7.79,3.0,0.0218,0.0621,-0.0174,0.0164,1.061,47,160.0,1.93,55.0,7.576234,53,140.0,2.66,32.9,10.45126,2.1163,0.9988,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10990>,0,0,2,1,1,0,4,3,0
Ag_22,Ag,CN,CN,H,C#N,-5.48,3.075,0.0192,0.053,-0.0141,0.0137,1.029,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.0834,0.0399,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A109F0>,0,0,1,1,0,0,3,2,0
Ag_23,Ag,CN,CN,F,FC#N,-5.64,3.063,0.0197,0.0544,-0.0146,0.0141,1.035,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1087,1.1056,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10A50>,0,0,2,1,0,1,3,3,0
Ag_24,Ag,CN,CN,CF3,FC(F)(F)C#N,-5.77,3.05,0.0202,0.056,-0.0152,0.0146,1.041,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.0827,3.1939,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10AB0>,0,0,4,1,0,3,6,6,0
Ag_25,Ag,CN,CN,NO2,O=[N+]([O-])C#N,-5.62,3.05,0.0203,0.0559,-0.0152,0.0146,1.041,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.0822,1.1307,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10B10>,0,0,4,2,2,0,5,5,0
Ag_26,Ag,CN,CN,CH3,CC#N,-5.54,3.075,0.0192,0.0531,-0.014,0.0136,1.029,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.0787,1.1302,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10B70>,0,0,1,1,0,0,6,3,0
Ag_27,Ag,CN,CN,NH2,NC#N,-5.18,3.075,0.0191,0.0532,-0.014,0.0136,1.029,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.0769,1.1017,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10BD0>,0,0,2,2,0,0,5,3,0
Ag_28,Ag,CN,CN,OH,OC#N,-5.66,3.063,0.0196,0.0546,-0.0145,0.0141,1.028,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.0874,0.0506,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10C30>,0,0,2,1,1,0,4,3,0
Ag_29,Ag,Py,Cl,H,n1ccccc1,-10.31,2.925,0.0254,0.0739,-0.0221,0.0203,1.089,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.13,3.3204,3.6755,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10C90>,6,6,1,1,0,0,11,6,0
Ag_30,Ag,Py,Cl,F,n1ccc(F)cc1,-10.54,2.925,0.0254,0.0739,-0.0221,0.0203,1.089,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.1296,3.9221,2.6042,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10CF0>,6,6,2,1,0,1,11,7,0
Ag_31,Ag,Py,Cl,CF3,n1ccc(C(F)(F)F)cc1,-10.65,2.925,0.0255,0.0738,-0.0221,0.0203,1.089,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.1334,5.4048,2.5029,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10D50>,6,6,4,1,0,3,14,10,0
Ag_32,Ag,Py,Cl,NO2,n1ccc([N+](=O)[O-])cc1,-10.72,2.925,0.0255,0.0738,-0.0221,0.0203,1.089,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.1343,3.946,3.692,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10DB0>,6,6,4,2,2,0,13,9,0
Ag_33,Ag,Py,Cl,CH3,n1ccc(C)cc1,-9.89,2.938,0.0248,0.0718,-0.0213,0.0196,1.087,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.1287,3.9665,3.7471,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10E10>,6,6,1,1,0,0,14,7,0
Ag_34,Ag,Py,Cl,NH2,n1ccc(N)cc1,-9.44,2.925,0.0253,0.0739,-0.022,0.0203,1.084,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.1253,3.947,3.7056,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10E70>,6,6,2,2,0,0,13,7,0
Ag_35,Ag,Py,Cl,OH,n1ccc(O)cc1,-10.13,2.925,0.0254,0.0739,-0.0221,0.0203,1.089,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.1294,3.3258,3.6853,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10ED0>,6,6,2,1,1,0,12,7,0
Ag_36,Ag,Py,CN,H,n1ccccc1,-9.73,2.963,0.0241,0.0681,-0.0199,0.0185,1.076,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1348,2.5009,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10F30>,6,6,1,1,0,0,11,6,0
Ag_37,Ag,Py,CN,F,n1ccc(F)cc1,-9.67,2.963,0.0241,0.0681,-0.0199,0.0185,1.076,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1366,3.1273,2.6031,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10F90>,6,6,2,1,0,1,11,7,0
Ag_38,Ag,Py,CN,CF3,n1ccc(C(F)(F)F)cc1,-9.44,2.975,0.0236,0.0662,-0.0192,0.0179,1.073,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1379,4.6779,2.502,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13030>,6,6,4,1,0,3,14,10,0
Ag_39,Ag,Py,CN,NO2,n1ccc([N+](=O)[O-])cc1,-9.61,2.963,0.0242,0.0681,-0.02,0.0185,1.081,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1408,3.1469,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13090>,6,6,4,2,2,0,13,9,0
Ag_40,Ag,Py,CN,CH3,n1ccc(C)cc1,-9.37,2.963,0.0241,0.0681,-0.0199,0.0185,1.076,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1303,3.1616,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A130F0>,6,6,1,1,0,0,14,7,0
Ag_41,Ag,Py,CN,NH2,n1ccc(N)cc1,-9.3,2.963,0.024,0.0682,-0.0199,0.0185,1.076,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1264,3.1439,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13150>,6,6,2,2,0,0,13,7,0
Ag_42,Ag,Py,CN,OH,n1ccc(O)cc1,-9.6,2.963,0.024,0.0682,-0.0199,0.0185,1.076,47,160.0,1.93,55.0,7.576234,6,70.0,2.55,11.3,11.260296,2.1318,2.5038,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A131B0>,6,6,2,1,1,0,12,7,0
Au_43,Au,CN,Cl,H,C#N,-4.43,3.188,0.0217,0.0543,-0.0141,0.0138,1.022,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,1.9632,1.0064,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13210>,0,0,1,1,0,0,3,2,0
Au_44,Au,CN,Cl,F,FC#N,-4.83,3.15,0.0231,0.0596,-0.0154,0.0152,1.013,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,1.9859,2.0558,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13270>,0,0,2,1,0,1,3,3,0
Au_45,Au,CN,Cl,CF3,FC(F)(F)C#N,-4.92,3.175,0.0222,0.0561,-0.0145,0.0143,1.014,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,1.9547,3.9795,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A132D0>,0,0,4,1,0,3,6,6,0
Au_46,Au,CN,Cl,NO2,O=[N+]([O-])C#N,-4.81,3.175,0.0222,0.0561,-0.0145,0.0143,1.014,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,1.9492,2.077,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13330>,0,0,4,2,2,0,5,5,0
Au_47,Au,CN,Cl,CH3,CC#N,-4.25,3.175,0.0221,0.056,-0.0145,0.0142,1.021,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,1.9712,2.098,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13390>,0,0,1,1,0,0,6,3,0
Au_48,Au,CN,Cl,NH2,NC#N,-3.57,3.175,0.022,0.056,-0.0144,0.0142,1.014,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,1.9772,2.0684,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A133F0>,0,0,2,2,0,0,5,3,0
Au_49,Au,CN,Cl,OH,OC#N,-4.35,3.163,0.0225,0.0577,-0.0149,0.0147,1.014,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,1.9839,1.0211,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13450>,0,0,2,1,1,0,4,3,0
Au_50,Au,CN,Br,H,C#N,-4.92,3.15,0.0232,0.0596,-0.0154,0.0152,1.013,79,135.0,2.4,36.0,9.225553,35,115.0,2.96,21.0,11.81381,1.9785,0.9723,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A134B0>,0,0,1,1,0,0,3,2,0
Au_51,Au,CN,Br,F,FC#N,-5.38,3.125,0.0242,0.0633,-0.0164,0.0161,1.019,79,135.0,2.4,36.0,9.225553,35,115.0,2.96,21.0,11.81381,2.0021,2.0338,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13510>,0,0,2,1,0,1,3,3,0
Au_52,Au,CN,Br,CF3,FC(F)(F)C#N,-5.48,3.15,0.0232,0.0596,-0.0155,0.0152,1.02,79,135.0,2.4,36.0,9.225553,35,115.0,2.96,21.0,11.81381,1.9703,3.9737,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13570>,0,0,4,1,0,3,6,6,0
Au_53,Au,CN,Br,NO2,O=[N+]([O-])C#N,-5.38,3.163,0.0227,0.0577,-0.015,0.0147,1.02,79,135.0,2.4,36.0,9.225553,35,115.0,2.96,21.0,11.81381,1.9642,2.0539,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A135D0>,0,0,4,2,2,0,5,5,0
Au_54,Au,CN,Br,CH3,CC#N,-4.78,3.15,0.0231,0.0595,-0.0154,0.0152,1.013,79,135.0,2.4,36.0,9.225553,35,115.0,2.96,21.0,11.81381,1.9856,2.075,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13630>,0,0,1,1,0,0,6,3,0
Au_55,Au,CN,Br,NH2,NC#N,-4.1,3.15,0.023,0.0595,-0.0154,0.0151,1.02,79,135.0,2.4,36.0,9.225553,35,115.0,2.96,21.0,11.81381,1.9911,2.0445,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13690>,0,0,2,2,0,0,5,3,0
Au_56,Au,CN,Br,OH,OC#N,-4.89,3.138,0.0236,0.0613,-0.0159,0.0156,1.019,79,135.0,2.4,36.0,9.225553,35,115.0,2.96,21.0,11.81381,1.9987,0.987,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A136F0>,0,0,2,1,1,0,4,3,0
Au_57,Au,CN,I,H,C#N,-5.79,3.125,0.0243,0.0633,-0.0165,0.0162,1.019,79,135.0,2.4,36.0,9.225553,53,140.0,2.66,32.9,10.45126,2.0036,0.933,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13750>,0,0,1,1,0,0,3,2,0
Au_58,Au,CN,I,F,FC#N,-6.29,3.088,0.026,0.0694,-0.0182,0.0178,1.022,79,135.0,2.4,36.0,9.225553,53,140.0,2.66,32.9,10.45126,2.029,2.0114,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A137B0>,0,0,2,1,0,1,3,3,0
Au_59,Au,CN,I,CF3,FC(F)(F)C#N,-6.4,3.113,0.0249,0.0654,-0.0171,0.0167,1.024,79,135.0,2.4,36.0,9.225553,53,140.0,2.66,32.9,10.45126,1.9956,3.9721,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13810>,0,0,4,1,0,3,6,6,0
Au_60,Au,CN,I,NO2,O=[N+]([O-])C#N,-6.27,3.125,0.0244,0.0633,-0.0165,0.0162,1.019,79,135.0,2.4,36.0,9.225553,53,140.0,2.66,32.9,10.45126,1.9883,2.0287,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13870>,0,0,4,2,2,0,5,5,0
Au_61,Au,CN,I,CH3,CC#N,-5.69,3.125,0.0243,0.0632,-0.0165,0.0162,1.019,79,135.0,2.4,36.0,9.225553,53,140.0,2.66,32.9,10.45126,2.0093,2.0498,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A138D0>,0,0,1,1,0,0,6,3,0
Au_62,Au,CN,I,NH2,NC#N,-5.01,3.125,0.0242,0.0632,-0.0165,0.0161,1.025,79,135.0,2.4,36.0,9.225553,53,140.0,2.66,32.9,10.45126,2.014,2.0189,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13930>,0,0,2,2,0,0,5,3,0
Au_63,Au,CN,I,OH,OC#N,-5.8,3.113,0.0248,0.0652,-0.017,0.0167,1.018,79,135.0,2.4,36.0,9.225553,53,140.0,2.66,32.9,10.45126,2.0233,0.948,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13990>,0,0,2,1,1,0,4,3,0
Au_64,Au,CN,CN,H,C#N,-4.47,3.163,0.0229,0.0581,-0.015,0.0148,1.014,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0025,0.0288,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A139F0>,0,0,1,1,0,0,3,2,0
Au_65,Au,CN,CN,F,FC#N,-4.7,3.15,0.0234,0.0598,-0.0155,0.0152,1.02,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0224,1.0745,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13A50>,0,0,2,1,0,1,3,3,0
Au_66,Au,CN,CN,CF3,FC(F)(F)C#N,-4.8,3.163,0.023,0.0581,-0.0151,0.0148,1.02,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,1.9967,3.1318,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13AB0>,0,0,4,1,0,3,6,6,0
Au_67,Au,CN,CN,NO2,O=[N+]([O-])C#N,-4.61,3.15,0.0235,0.0599,-0.0155,0.0152,1.02,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,1.9925,1.0954,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13B10>,0,0,4,2,2,0,5,5,0
Au_68,Au,CN,CN,CH3,CC#N,-4.55,3.163,0.0228,0.058,-0.015,0.0148,1.014,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0069,1.1096,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13B70>,0,0,1,1,0,0,6,3,0
Au_69,Au,CN,CN,NH2,NC#N,-4.03,3.175,0.0223,0.0562,-0.0145,0.0143,1.014,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0102,1.0834,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13BD0>,0,0,2,2,0,0,5,3,0
Au_70,Au,CN,CN,OH,OC#N,-4.58,3.163,0.0228,0.058,-0.015,0.0148,1.014,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0177,0.043,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13C30>,0,0,2,1,1,0,4,3,0
Au_71,Au,Py,Cl,H,n1ccccc1,-7.53,3.063,0.0274,0.0743,-0.0196,0.0191,1.026,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,2.0455,3.2356,3.7238,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13C90>,6,6,1,1,0,0,11,6,0
Au_72,Au,Py,Cl,F,n1ccc(F)cc1,-7.51,3.075,0.0268,0.072,-0.019,0.0185,1.027,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,2.0484,3.8367,2.605,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13CF0>,6,6,2,1,0,1,11,7,0
Au_73,Au,Py,Cl,CF3,n1ccc(C(F)(F)F)cc1,-8.13,3.063,0.0274,0.0743,-0.0196,0.0191,1.026,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,2.0443,5.3023,2.5039,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13D50>,6,6,4,1,0,3,14,10,0
Au_74,Au,Py,Cl,NO2,n1ccc([N+](=O)[O-])cc1,-7.97,3.075,0.0268,0.0721,-0.019,0.0185,1.027,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,2.0418,3.8484,3.7537,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13DB0>,6,6,4,2,2,0,13,9,0
Au_75,Au,Py,Cl,CH3,n1ccc(C)cc1,-7.33,3.063,0.0273,0.0743,-0.0196,0.0191,1.026,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,2.0452,3.8782,3.7373,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13E10>,6,6,1,1,0,0,14,7,0
Au_76,Au,Py,Cl,NH2,n1ccc(N)cc1,-6.57,3.063,0.0273,0.0742,-0.0196,0.0191,1.026,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,2.0459,3.8619,3.7442,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13E70>,6,6,2,2,0,0,13,7,0
Au_77,Au,Py,Cl,OH,n1ccc(O)cc1,-7.32,3.063,0.0273,0.0743,-0.0196,0.0191,1.026,79,135.0,2.4,36.0,9.225553,17,100.0,3.16,14.6,12.96763,2.0471,3.2424,3.7282,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13ED0>,6,6,2,1,1,0,12,7,0
Au_78,Au,Py,CN,H,n1ccccc1,-7.82,3.075,0.027,0.0722,-0.0191,0.0186,1.027,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0471,3.2424,3.7282,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13F30>,6,6,1,1,0,0,11,6,0
Au_79,Au,Py,CN,F,n1ccc(F)cc1,-7.86,3.075,0.027,0.0723,-0.0191,0.0186,1.027,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0762,3.0816,2.6036,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A13F90>,6,6,2,1,0,1,11,7,0
Au_80,Au,Py,CN,CF3,n1ccc(C(F)(F)F)cc1,-8.05,3.075,0.0271,0.0723,-0.0191,0.0186,1.027,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.075,4.6192,2.5017,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A14030>,6,6,4,1,0,3,14,10,0
Au_81,Au,Py,CN,NO2,n1ccc([N+](=O)[O-])cc1,-8.05,3.075,0.0271,0.0723,-0.0191,0.0186,1.027,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0746,3.096,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A14090>,6,6,4,2,2,0,13,9,0
Au_82,Au,Py,CN,CH3,n1ccc(C)cc1,-7.86,3.063,0.0276,0.0745,-0.0197,0.0192,1.026,79,135.0,2.4,36.0,9.225553,6,70.0,2.55,11.3,11.260296,2.0724,3.1185,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A140F0>,6,6,1,1,0,0,14,7,0
